,link,label,id
0,https://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2024/11/ls20241126_1bvl000124.html,Urteil vom 26. November 2024,ls20241126_1bvl000124
1,https://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2024/11/es20241126_2bve000124.html,Beschluss vom 26. November 2024,es20241126_2bve000124
2,https://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2024/11/rk20241125_1bvr209523.html,Beschluss vom 25. November 2024,rk20241125_1bvr209523
3,https://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2024/11/rk20241120_1bvr226823.html,Beschluss vom 20. November 2024,rk20241120_1bvr226823
4,https://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2024/11/rk20241120_1bvr140424.html,Beschluss vom 20. November 2024,rk20241120_1bvr140424
5,https://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2024/11/rk20241120_1bvr010524.html,Beschluss vom 20. November 2024,rk20241120_1bvr010524
6,https://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2024/11/rk20241120_1bvr022524.html,Beschluss vom 20. November 2024,rk20241120_1bvr022524
7,https://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2024/11/rk20241119_1bvr020224.html,Beschluss vom 19. November 2024,rk20241119_1bvr020224
8,https://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2024/11/rk20241119_2bvr122524.html,Beschluss vom 19. November 2024,rk20241119_2bvr122524
9,https://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2024/11/rk20241118_1bvr229724.html,Beschluss vom 18. November 2024,rk20241118_1bvr229724
10,https://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2024/11/ls20241114_1bvl000322.html,Beschluss vom 14. November 2024,ls20241114_1bvl000322
11,https://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2024/11/rs20241113_1bvr036822.html,Beschluss vom 13. November 2024,rs20241113_1bvr036822
12,https://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2024/11/cs20241113_2bvc000824.html,Beschluss vom 13. November 2024,cs20241113_2bvc000824
13,https://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2024/11/cs20241113_2bvc004823.html,Beschluss vom 13. November 2024,cs20241113_2bvc004823
14,https://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2024/11/rk20241111_1bvr214324.html,Beschluss vom 11. November 2024,rk20241111_1bvr214324
